city,city_ascii,lat,lng,pop,country,iso2,iso3,province
Qal eh-ye Now,Qal eh-ye,34.98300013,63.13329964,2997,Afghanistan,AF,AFG,Badghis
Chaghcharan,Chaghcharan,34.5167011,65.25000063,15000,Afghanistan,AF,AFG,Ghor
Lashkar Gah,Lashkar Gah,31.58299802,64.35999955,201546,Afghanistan,AF,AFG,Hilmand
Zaranj,Zaranj,31.11200108,61.88699752,49851,Afghanistan,AF,AFG,Nimroz
Tarin Kowt,Tarin Kowt,32.63329815,65.86669865,10000,Afghanistan,AF,AFG,Uruzgan
Zareh Sharan,Zareh Sharan,32.85000016,68.41670453,13737,Afghanistan,AF,AFG,Paktika
Asadabad,Asadabad,34.86600004,71.15000459,48400,Afghanistan,AF,AFG,Kunar
Taloqan,Taloqan,36.72999904,69.54000364,64256,Afghanistan,AF,AFG,Takhar
Mahmud-E Eraqi,Mahmud-E Eraqi,35.01669608,69.33330065,7407,Afghanistan,AF,AFG,Kapisa
Mehtar Lam,Mehtar Lam,34.65000001,70.16670052,17345,Afghanistan,AF,AFG,Laghman
Baraki Barak,Baraki Barak,33.9667021,68.96670354,22305,Afghanistan,AF,AFG,Logar
Aybak,Aybak,36.26100015,68.04000051,24000,Afghanistan,AF,AFG,Samangan
Mayda Shahr,Mayda Shahr,34.45000209,68.79999663,35008,Afghanistan,AF,AFG,Wardak
Karokh,Karokh,34.48676963,62.59177608,14388.5,Afghanistan,AF,AFG,Hirat
Sheberghan,Sheberghan,36.65798077,65.73830237,74441,Afghanistan,AF,AFG,Jawzjan
Pol-e Khomri,Pol-e Khomri,35.95107302,68.70111894,41029,Afghanistan,AF,AFG,Baghlan
Balkh,Balkh,36.75011985,66.89973018,147426,Afghanistan,AF,AFG,Balkh
Meymaneh,Meymaneh,35.93022158,64.77009273,199795,Afghanistan,AF,AFG,Faryab
Andkhvoy,Andkhvoy,36.93165916,65.10149369,50469,Afghanistan,AF,AFG,Faryab
Qalat,Qalat,32.11226341,66.8867594,12191,Afghanistan,AF,AFG,Zabul
Ghazni,Ghazni,33.56331179,68.41782873,129892.5,Afghanistan,AF,AFG,Ghazni
Feyzabad,Feyzabad,37.12976076,70.57924719,52490,Afghanistan,AF,AFG,Badakhshan
Kondoz,Kondoz,36.72795066,68.87252966,210855.5,Afghanistan,AF,AFG,Kunduz
Jalalabad,Jalalabad,34.44152692,70.43610347,401697,Afghanistan,AF,AFG,Nangarhar
Charikar,Charikar,35.01826174,69.16791215,53676,Afghanistan,AF,AFG,Parwan
Gardiz,Gardiz,33.60005373,69.21462764,82680.5,Afghanistan,AF,AFG,Paktya
Bamian,Bamian,34.82106447,67.52103593,61863,Afghanistan,AF,AFG,Bamyan
Baghlan,Baghlan,36.13933026,68.69925858,163598.5,Afghanistan,AF,AFG,Baghlan
Farah,Farah,32.39172955,62.09681921,58604,Afghanistan,AF,AFG,Farah
Herat,Herat,34.33000917,62.16999304,439232.5,Afghanistan,AF,AFG,Hirat
Mazar-e Sharif,Mazar-e Sharif,36.69999371,67.10002803,365432.5,Afghanistan,AF,AFG,Balkh
Kandahar,Kandahar,31.61002016,65.69494584,613871,Afghanistan,AF,AFG,Kandahar
Kabul,Kabul,34.51669029,69.18326005,3160266,Afghanistan,AF,AFG,Kabul
Mariehamn,Mariehamn,60.09699618,19.94900447,10682,Aland,AX,ALD,Finström
Kruje,Kruje,41.51899817,19.79700359,21286,Albania,AL,ALB,Durrës
Fier,Fier,40.73000402,19.5730026,69747.5,Albania,AL,ALB,Fier
Lushnje,Lushnje,40.94000113,19.71600348,41469,Albania,AL,ALB,Fier
Puke,Puke,42.03330302,19.88330448,6495,Albania,AL,ALB,Shkodër
Bajram Curri,Bajram Curri,42.33330007,20.08330257,7967,Albania,AL,ALB,Kukës
Kukes,Kukes,42.08300107,20.43399653,17832,Albania,AL,ALB,Kukës
Sarande,Sarande,39.87700212,19.99999859,15147,Albania,AL,ALB,Vlorë
Erseke,Erseke,40.33330213,20.68329651,7890,Albania,AL,ALB,Korçë
Pogradec,Pogradec,40.89999612,20.66400062,35000,Albania,AL,ALB,Korçë
Korce,Korce,40.61667601,20.76666353,58259,Albania,AL,ALB,Korçë
Berat,Berat,40.70999705,19.97199958,46866,Albania,AL,ALB,Berat
Corovode,Corovode,40.51670403,20.23329663,14046,Albania,AL,ALB,Berat
Gramsh,Gramsh,40.86669601,20.19999652,11556,Albania,AL,ALB,Elbasan
Librazhd,Librazhd,41.20000211,20.3667036,12691,Albania,AL,ALB,Elbasan
Tepelene,Tepelene,40.2832981,20.03329854,11955,Albania,AL,ALB,Gjirokastër
Permet,Permet,40.23399605,20.35199756,10686,Albania,AL,ALB,Gjirokastër
Gjirokaster,Gjirokaster,40.07899809,20.14900256,23437,Albania,AL,ALB,Gjirokastër
Peshkopi,Peshkopi,41.6833021,20.43330349,14848,Albania,AL,ALB,Dibër
Burrel,Burrel,41.62599908,20.01600053,15405,Albania,AL,ALB,Dibër
Lezhe,Lezhe,41.78799914,19.65400254,18695,Albania,AL,ALB,Lezhë
Rreshen,Rreshen,41.78330106,19.81670459,10064,Albania,AL,ALB,Lezhë
Vlore,Vlore,40.47736005,19.49823075,89508.5,Albania,AL,ALB,Vlorë
Elbasan,Elbasan,41.12150677,20.08382808,132956.5,Albania,AL,ALB,Elbasan
Durres,Durres,41.3177997,19.44820797,132233,Albania,AL,ALB,Durrës
Shkoder,Shkoder,42.06845156,19.51884965,122006,Albania,AL,ALB,Shkodër
Tirana,Tirana,41.32754071,19.81888301,658318,Albania,AL,ALB,Durrës
Jijel,Jijel,36.82199703,5.76600356,148000,Algeria,DZ,DZA,Jijel
Tizi-Ouzou,Tizi-Ouzou,36.80000111,4.033332556,144000,Algeria,DZ,DZA,Tizi Ouzou
Bordj Bou Arreridj,Bordj Bou Arreridj,36.05900401,4.629996466,134500,Algeria,DZ,DZA,Bordj Bou Arréridj
M'sila,M'sila,35.7000031,4.545000584,125000,Algeria,DZ,DZA,M'Sila
Guelma,Guelma,36.46600213,7.427997486,123590,Algeria,DZ,DZA,Guelma
Oum el Bouaghi,Oum el Bouaghi,35.84999715,7.149996522,100821,Algeria,DZ,DZA,Oum el Bouaghi
Timimoun,Timimoun,29.23652163,0.269998737,26568,Algeria,DZ,DZA,Adrar
Sidi bel Abbes,Sidi bel Abbes,35.19034426,-0.639971559,200186.5,Algeria,DZ,DZA,Sidi Bel Abbès
Tlimcen,Tlimcen,34.89041424,-1.32000757,181059,Algeria,DZ,DZA,Tlemcen
Beni Ounif,Beni Ounif,32.04926984,-1.251381268,5628,Algeria,DZ,DZA,Béchar
Abadla,Abadla,31.01708478,-2.733306317,14364,Algeria,DZ,DZA,Béchar
Sefra,Sefra,32.76041506,-0.579949383,51118,Algeria,DZ,DZA,Naâma
Skikda,Skikda,36.88042198,6.899981647,193941.5,Algeria,DZ,DZA,Skikda
Djanet,Djanet,24.5529057,9.482252969,666,Algeria,DZ,DZA,Illizi
I-n-Amenas,I-n-Amenas,28.0503408,9.550000772,216,Algeria,DZ,DZA,Illizi
In Amguel,In Amguel,23.69394004,5.164738727,3030,Algeria,DZ,DZA,Tamanghasset
El Bayadh,El Bayadh,33.6903583,1.009953571,67413,Algeria,DZ,DZA,El Bayadh
El Oued,El Oued,33.37040367,6.859984089,177497,Algeria,DZ,DZA,Biskra
Hassi Messaoud,Hassi Messaoud,31.70234011,6.054451862,18124,Algeria,DZ,DZA,Ouargla
Chlef,Chlef,36.17041363,1.319960489,449167,Algeria,DZ,DZA,Chlef
Mascara,Mascara,35.40040895,0.14003251,108230,Algeria,DZ,DZA,Mascara
Mostaganem,Mostaganem,35.940376,0.089983885,159177,Algeria,DZ,DZA,Mostaganem
Saida,Saida,34.84039146,0.14003251,134855,Algeria,DZ,DZA,Saïda
Tiarat,Tiarat,35.38043601,1.319960489,184195,Algeria,DZ,DZA,Tiaret
Bejaia,Bejaia,36.76037762,5.070015827,274520,Algeria,DZ,DZA,Béjaïa
Blida,Blida,36.4203467,2.829997517,388174,Algeria,DZ,DZA,Blida
Bouira,Bouira,36.38047833,3.900009724,110144,Algeria,DZ,DZA,Bouira
Medea,Medea,36.27040753,2.770001179,145863.5,Algeria,DZ,DZA,Médéa
Souk Ahras,Souk Ahras,36.29038047,7.949995075,134947,Algeria,DZ,DZA,Souk Ahras
Tebessa,Tebessa,35.41043418,8.120010537,171742,Algeria,DZ,DZA,Tébessa
Adrar,Adrar,27.86999005,-0.289967083,56910,Algeria,DZ,DZA,Adrar
Reggane,Reggane,26.69998395,0.166645873,22351.5,Algeria,DZ,DZA,Adrar
Bechar,Bechar,31.61110537,-2.230003704,142415.5,Algeria,DZ,DZA,Béchar
Tindouf,Tindouf,27.67418805,-8.147782025,18270,Algeria,DZ,DZA,Tindouf
Illizi,Illizi,26.48335634,8.466604369,7293,Algeria,DZ,DZA,Illizi
Arak,Arak,25.2799931,3.749993041,423251,Algeria,DZ,DZA,Tamanghasset
I-n-Salah,I-n-Salah,27.21664492,2.466608845,28632,Algeria,DZ,DZA,Tamanghasset
El Golea,El Golea,30.56662132,2.883327595,32049,Algeria,DZ,DZA,Ghardaïa
Laghouat,Laghouat,33.80998924,2.880020303,108279,Algeria,DZ,DZA,Laghouat
Touggourt,Touggourt,33.0999809,6.05998124,91499,Algeria,DZ,DZA,Ouargla
Ouargla,Ouargla,31.96997235,5.340025186,176271,Algeria,DZ,DZA,Ouargla
Biskra,Biskra,34.85997683,5.73002722,202103,Algeria,DZ,DZA,Biskra
Djelfa,Djelfa,34.67998781,3.250023558,170901,Algeria,DZ,DZA,Djelfa
Setif,Setif,36.18002545,5.399969847,274744,Algeria,DZ,DZA,Sétif
Batna,Batna,35.56995933,6.170000365,269467,Algeria,DZ,DZA,Batna
Annaba,Annaba,36.92000612,7.759980834,355047,Algeria,DZ,DZA,Annaba
Constantine,Constantine,36.35998863,6.599948281,527638,Algeria,DZ,DZA,Constantine
Oran,Oran,35.71000246,-0.61997278,721992,Algeria,DZ,DZA,Oran
Tamanrasset,Tamanrasset,22.78500327,5.522804727,71808,Algeria,DZ,DZA,Tamanghasset
Ghardaia,Ghardaia,32.48999229,3.669997923,125480,Algeria,DZ,DZA,Ghardaïa
Algiers,Algiers,36.7630648,3.05055253,2665831.5,Algeria,DZ,DZA,Alger
Pago Pago,Pago Pago,-14.2766105,-170.7066451,12038,American Samoa,AS,ASM,
Andorra,Andorra,42.50000144,1.516485961,38127,Andorra,AD,AND,
Mucusso,Mucusso,-18.01953449,21.42999914,100,Angola,AO,AGO,Cuando Cubango
